wavelength_nm,intensity
228.3686,5.2406e-10
228.50601,5.1856e-10
228.64339,5.162e-10
228.78079,5.0561e-10
228.91817,5.1466e-10
229.05557,5.166e-10
229.19295,5.1869e-10
229.33035,5.1744e-10
229.46773,5.0531e-10
229.60513,4.7498e-10
229.74251,4.2122e-10
229.87991,4.6351e-10
230.01729,4.956e-10
230.1547,5.1023e-10
230.29207,5.1273e-10
230.42947,5.0598e-10
230.56685,4.8115e-10
230.70425,4.578e-10
230.84163,4.8185e-10
230.97903,5.0108e-10
231.11641,5.1414e-10
231.25381,5.1484e-10
231.39119,5.1643e-10
231.5286,5.1392e-10
231.66597,5.0798e-10
231.80338,5.0485e-10
231.94075,5.1002e-10
232.07816,5.1283e-10
232.21553,5.1351e-10
232.35294,5.1407e-10
232.49033,5.1325e-10
232.62772,5.1112e-10
232.7651,5.0614e-10
232.9025,5.077e-10
233.03989,5.0645e-10
233.17728,5.1057e-10
233.31467,5.0949e-10
233.45206,5.0523e-10
233.58945,5.0415e-10
233.72684,5.0687e-10
233.86423,5.0969e-10
234.00162,5.085e-10
234.13899,5.0629e-10
234.2764,4.87e-10
234.41377,4.511e-10
234.55118,4.8485e-10
234.68855,5.031e-10
234.82596,5.0591e-10
234.96333,5.0532e-10
235.10074,5.0547e-10
235.23811,5.0433e-10
235.37552,5.0707e-10
235.5129,5.068e-10
235.6503,5.0551e-10
235.78767,5.0596e-10
235.92505,5.0501e-10
236.06245,5.0277e-10
236.19983,5.0033e-10
236.33723,4.9961e-10
236.47461,4.9645e-10
236.61198,4.9501e-10
236.74939,4.9288e-10
236.88676,4.9424e-10
237.02417,4.9502e-10
237.16154,4.9438e-10
237.29892,4.8051e-10
237.43633,4.5659e-10
237.5737,4.7905e-10
237.7111,4.8769e-10
237.84848,4.8659e-10
237.98587,4.8264e-10
238.12326,4.6477e-10
238.26065,4.1896e-10
238.39803,4.3811e-10
238.53543,4.3144e-10
238.6728,4.2603e-10
238.81018,4.4813e-10
238.94756,4.638e-10
239.08496,4.7076e-10
239.22234,4.7735e-10
239.35971,4.8048e-10
239.4971,4.825e-10
239.63449,4.817e-10
239.77188,4.7678e-10
239.90926,4.6526e-10
240.04663,4.6769e-10
240.18404,4.7648e-10
240.32141,4.8005e-10
240.45879,4.7696e-10
240.59616,4.7667e-10
240.73355,4.7753e-10
240.87094,4.7869e-10
241.00833,4.7768e-10
241.1457,4.7456e-10
241.28308,4.7037e-10
241.42046,4.6633e-10
241.55783,4.703e-10
241.69522,4.7505e-10
241.83261,4.7786e-10
241.97,4.7757e-10
242.10738,4.7704e-10
242.24475,4.7449e-10
242.38213,4.7259e-10
242.5195,4.7253e-10
242.65689,4.7289e-10
242.79427,4.7456e-10
242.93164,4.7501e-10
243.06902,4.7507e-10
243.20639,4.7279e-10
243.34378,4.7158e-10
243.48116,4.7023e-10
243.61853,4.6846e-10
243.7559,4.6935e-10
243.89328,4.6931e-10
244.03067,4.681e-10
244.16805,4.7096e-10
244.30539,4.7019e-10
244.44278,4.6587e-10
244.58015,4.6344e-10
244.71753,4.6741e-10
244.8549,4.6521e-10
244.99228,4.6519e-10
245.12967,4.6205e-10
245.26701,4.6561e-10
245.40439,4.5875e-10
245.54178,4.5115e-10
245.67915,4.5496e-10
245.8165,4.5954e-10
245.95389,4.6066e-10
246.09126,4.5773e-10
246.2286,4.5519e-10
246.366,4.5891e-10
246.50337,4.6246e-10
246.64072,4.6144e-10
246.7781,4.5927e-10
246.91548,4.6038e-10
247.05283,4.5791e-10
247.19022,4.5889e-10
247.32759,4.5447e-10
247.46494,4.5524e-10
247.60233,4.5785e-10
247.73967,4.5344e-10
247.87704,4.5106e-10
248.0144,4.5131e-10
248.15178,4.472e-10
248.28914,4.4805e-10
248.42651,4.4939e-10
248.56387,4.4977e-10
248.70122,4.5164e-10
248.8386,4.5203e-10
248.97595,4.4897e-10
249.11333,4.4974e-10
249.25069,4.5012e-10
249.38803,4.4799e-10
249.52542,4.4621e-10
249.66277,4.4162e-10
249.80013,4.4596e-10
249.93747,4.4749e-10
250.07486,4.4501e-10
250.2122,4.4595e-10
250.34956,4.4696e-10
250.48691,4.4412e-10
250.62427,4.4138e-10
250.76163,4.3932e-10
250.899,4.3047e-10
251.03635,4.1392e-10
251.1737,3.8527e-10
251.31107,3.9737e-10
251.44841,4.1701e-10
251.58577,4.2756e-10
251.72311,4.1972e-10
251.86047,4.0864e-10
251.99783,4.2501e-10
252.13518,4.3228e-10
252.27254,4.3425e-10
252.40988,4.3004e-10
252.54721,4.2689e-10
252.68457,4.305e-10
252.82193,4.34e-10
252.95927,4.2914e-10
253.09663,4.2418e-10
253.23398,4.2926e-10
253.3713,4.3162e-10
253.50867,4.2997e-10
253.64603,4.3019e-10
253.78336,4.2998e-10
253.9207,4.2785e-10
254.05806,4.2751e-10
254.19539,4.232e-10
254.33273,4.2094e-10
254.4701,4.2671e-10
254.60742,4.2498e-10
254.74478,4.2436e-10
254.88211,4.2395e-10
255.01945,4.2381e-10
255.15678,4.2429e-10
255.29414,4.2323e-10
255.43147,4.2298e-10
255.5688,4.2152e-10
255.70615,4.2023e-10
255.84348,4.1566e-10
255.9808,4.1583e-10
256.11816,4.1732e-10
256.2555,4.153e-10
256.39282,4.1423e-10
256.53015,4.1857e-10
256.6675,4.1617e-10
256.80484,4.1571e-10
256.94217,4.1469e-10
257.0795,4.1302e-10
257.21683,4.1365e-10
257.35416,4.1449e-10
257.4915,4.1144e-10
257.6288,3.9813e-10
257.76614,3.9991e-10
257.90347,4.0807e-10
258.0408,4.1153e-10
258.17813,4.1182e-10
258.31546,4.0831e-10
258.4528,4.0199e-10
258.59012,3.7253e-10
258.72745,3.7406e-10
258.86475,3.9531e-10
259.00208,3.9675e-10
259.1394,3.9498e-10
259.27673,3.9631e-10
259.41403,3.8418e-10
259.55136,3.8874e-10
259.6887,3.9119e-10
259.826,3.8658e-10
259.96332,3.5263e-10
260.10065,3.6812e-10
260.23798,3.8871e-10
260.37527,3.9557e-10
260.5126,3.9402e-10
260.6499,3.8622e-10
260.78723,3.931e-10
260.92453,3.9362e-10
261.06183,3.9283e-10
261.19916,3.9307e-10
261.3365,3.9405e-10
261.4738,3.9067e-10
261.61108,3.8997e-10
261.74838,3.9326e-10
261.8857,3.9388e-10
262.023,3.9265e-10
262.16034,3.906e-10
262.29764,3.8831e-10
262.43494,3.8868e-10
262.57224,3.8918e-10
262.70953,3.9032e-10
262.84686,3.8873e-10
262.98416,3.8874e-10
263.12146,3.8853e-10
263.25876,3.8924e-10
263.39606,3.8639e-10
263.53336,3.8094e-10
263.67065,3.8314e-10
263.80795,3.8457e-10
263.94525,3.7818e-10
264.08255,3.8047e-10
264.21985,3.8322e-10
264.35712,3.8157e-10
264.49445,3.819e-10
264.63174,3.8358e-10
264.769,3.827e-10
264.9063,3.8267e-10
265.0436,3.8147e-10
265.18088,3.8039e-10
265.31818,3.7976e-10
265.45547,3.7974e-10
265.59274,3.7891e-10
265.73004,3.7945e-10
265.86734,3.7802e-10
266.0046,3.7617e-10
266.1419,3.7287e-10
